Fill,Strain,Stress
60,0.2926289,2.071908
60,0.2926289,2.082497
60,0.293957,2.082065
60,0.293957,2.081417
60,0.293957,2.087467
60,0.2950676,2.094382
60,0.2950676,2.091357
60,0.2950676,2.088332
60,0.2950676,2.085522
60,0.2950676,2.090492
60,0.2961938,2.100217
60,0.2961938,2.097624
60,0.2961938,2.103674
60,0.2961938,2.111238
60,0.2961938,2.111022
60,0.2976772,2.108428
60,0.2976772,2.107564
60,0.2996965,2.114047
60,0.2996965,2.107348
60,0.2996965,2.105619
60,0.2996965,2.109077
60,0.2996965,2.116424
60,0.2996965,2.114911
60,0.2996965,2.117504
60,0.3014828,2.125283
60,0.3014828,2.128741
60,0.3014828,2.139114
60,0.3014828,2.135872
60,0.3023372,2.134792
60,0.3023372,2.125716
60,0.3023372,2.131334
60,0.3028575,2.142139
60,0.3028575,2.150351
60,0.3028575,2.137385
60,0.3028575,2.146461
60,0.3028575,2.150567
60,0.3038594,2.146677
60,0.3038594,2.157698
60,0.3038594,2.156617
60,0.3038594,2.162668
60,0.3038594,2.167638
60,0.3052108,2.170015
60,0.3052108,2.168502
60,0.3052108,2.162452
60,0.3065699,2.158778
60,0.3065699,2.168718
60,0.3065699,2.175633
60,0.3065699,2.17088
60,0.3065699,2.174985
60,0.3079213,2.180171
60,0.3079213,2.183413
60,0.3079213,2.19076
60,0.3079213,2.18579
60,0.3079213,2.195082
60,0.3093426,2.197459
60,0.31116,2.193353
60,0.31116,2.184061
60,0.31116,2.190544
60,0.31116,2.197891
60,0.31116,2.198972
60,0.31116,2.199836
60,0.31116,2.208264
60,0.3130317,2.200917
60,0.3130317,2.198972
